2025-04-04T20:07:07.450753400 - [Kokk Bob] Tilbereder PASTA for kunde 1
2025-04-04T20:07:07.452746600 - [Kokk Alice] Tilbereder PIZZA for kunde 2
2025-04-04T20:07:17.482289200 - [Kokk Alice] Tilbereder BURGER for kunde 3
2025-04-04T20:07:17.482289200 - [Kokk Bob] Tilbereder BURGER for kunde 4
2025-04-04T20:07:27.485619700 - [Kokk Alice] Tilbereder PASTA for kunde 5
2025-04-04T20:09:25.779384400 - [Kokk Bob] Tilbereder SALAT for kunde 1
2025-04-04T20:09:25.779384400 - [Kokk Alice] Tilbereder PIZZA for kunde 2
2025-04-04T20:09:35.784441500 - [Kokk Alice] Tilbereder PASTA for kunde 3
2025-04-04T20:09:35.784441500 - [Kokk Bob] Tilbereder PASTA for kunde 4
2025-04-04T20:09:45.788282900 - [Kokk Bob] Tilbereder SALAT for kunde 5
2025-04-06T19:55:21.680280800 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 1
2025-04-06T19:55:22.776253600 - [Kokk Arne Brimi] Tilbereder PIZZA for kunde 2
2025-04-06T19:55:25.218593300 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 3
2025-04-06T19:55:26.906731500 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T19:55:28.177737700 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 5
2025-04-06T19:55:31.687271700 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 6
2025-04-06T19:55:32.778164900 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 7
2025-04-06T19:55:35.219503600 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 8
2025-04-06T19:55:36.908394900 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 9
2025-04-06T19:55:38.179132400 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 10
2025-04-06T19:55:41.691296800 - [Kokk Eivind Hellstrøm] Tilbereder SALAT for kunde 11
2025-04-06T19:55:42.780162 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 12
2025-04-06T19:55:45.220899800 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 13
2025-04-06T19:55:46.910111200 - [Kokk Lars Monsen] Tilbereder SALAT for kunde 14
2025-04-06T19:55:48.180153700 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 15
2025-04-06T19:55:51.693500400 - [Kokk Eivind Hellstrøm] Tilbereder PIZZA for kunde 16
2025-04-06T19:55:52.782099900 - [Kokk Arne Brimi] Tilbereder PIZZA for kunde 17
2025-04-06T19:55:55.221960200 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 18
2025-04-06T19:55:56.912349600 - [Kokk Lars Monsen] Tilbereder BURGER for kunde 19
2025-04-06T19:55:58.180823 - [Kokk Gordon Ramsay] Tilbereder PIZZA for kunde 20
2025-04-06T19:56:01.694095 - [Kokk Eivind Hellstrøm] Tilbereder PASTA for kunde 21
2025-04-06T20:01:00.875000500 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:01:01.901346500 - [Kokk Jamie Oliver] Tilbereder BURGER for kunde 2
2025-04-06T20:01:02.908969200 - [Kokk Arne Brimi] Tilbereder PIZZA for kunde 3
2025-04-06T20:01:05.450058500 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T20:01:08.079989800 - [Kokk Gordon Ramsay] Tilbereder SALAT for kunde 5
2025-04-06T20:01:10.880831600 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 6
2025-04-06T20:01:12.460238900 - [Kokk Jamie Oliver] Tilbereder PASTA for kunde 7
2025-04-06T20:03:31.493251500 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:03:33.880796600 - [Kokk Jamie Oliver] Tilbereder PIZZA for kunde 2
2025-04-06T20:03:35.145421400 - [Kokk Arne Brimi] Tilbereder SALAT for kunde 3
2025-04-06T20:03:36.737958700 - [Kokk Lars Monsen] Tilbereder PIZZA for kunde 4
2025-04-06T20:03:38.674476100 - [Kokk Gordon Ramsay] Tilbereder PIZZA for kunde 5
2025-04-06T20:03:41.498916500 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 6
2025-04-06T20:07:36.937047200 - [Kokk Eivind Hellstrøm] Tilbereder BURGER for kunde 1
2025-04-06T20:07:39.824859900 - [Kokk Jamie Oliver] Tilbereder SALAT for kunde 2
2025-04-06T20:07:42.511804800 - [Kokk Arne Brimi] Tilbereder BURGER for kunde 3
2025-04-06T20:07:45.095828400 - [Kokk Lars Monsen] Tilbereder PASTA for kunde 4
2025-04-06T20:07:46.943083600 - [Kokk Gordon Ramsay] Tilbereder BURGER for kunde 1
